age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
73,2.0,143437,11.0,9,2.0,4.0,0.0,0.0,1.0,0,0,20,38.0,0
33,1.0,137814,11.0,9,4.0,8.0,1.0,0.0,1.0,0,0,32,38.0,0
23,4.0,122272,9.0,13,4.0,1.0,3.0,0.0,0.0,0,0,30,38.0,0
53,2.0,169719,11.0,9,2.0,4.0,0.0,0.0,1.0,0,0,40,38.0,0
43,4.0,117037,1.0,7,2.0,14.0,0.0,0.0,1.0,0,2042,40,38.0,0
59,4.0,109015,11.0,9,0.0,13.0,4.0,0.0,0.0,0,0,40,38.0,0
19,4.0,168294,11.0,9,4.0,3.0,3.0,0.0,1.0,0,0,40,38.0,0
34,4.0,147215,8.0,11,0.0,13.0,4.0,0.0,0.0,0,0,60,38.0,0
52,4.0,152373,15.0,10,2.0,13.0,0.0,0.0,1.0,5013,0,40,38.0,0
39,0.0,110342,11.0,9,2.0,0.0,5.0,0.0,0.0,0,0,50,38.0,0
35,4.0,143385,11.0,9,2.0,6.0,0.0,0.0,1.0,0,0,40,38.0,0
44,7.0,138634,11.0,9,2.0,7.0,0.0,0.0,1.0,0,0,40,38.0,0
53,4.0,144361,11.0,9,2.0,7.0,0.0,0.0,1.0,0,0,38,38.0,0
44,4.0,128354,12.0,14,0.0,4.0,4.0,0.0,0.0,0,0,40,38.0,0
50,4.0,109937,15.0,10,2.0,4.0,5.0,0.0,0.0,0,0,50,38.0,0
28,2.0,134890,12.0,14,4.0,10.0,1.0,0.0,1.0,0,0,40,38.0,0
47,5.0,109832,11.0,9,0.0,4.0,1.0,0.0,1.0,0,0,60,38.0,0
26,4.0,132179,9.0,13,4.0,1.0,3.0,0.0,0.0,0,0,40,38.0,0
27,4.0,116372,12.0,14,4.0,4.0,1.0,0.0,0.0,0,0,40,38.0,0
41,4.0,147372,11.0,9,2.0,1.0,0.0,0.0,1.0,0,0,48,38.0,0
31,4.0,169085,1.0,7,2.0,12.0,5.0,0.0,0.0,0,0,20,38.0,0
48,4.0,149640,11.0,9,2.0,14.0,0.0,0.0,1.0,0,0,40,38.0,0
36,4.0,155537,11.0,9,2.0,3.0,0.0,0.0,1.0,0,0,40,38.0,0
46,7.0,149337,12.0,14,4.0,4.0,1.0,0.0,1.0,0,0,38,38.0,0
79,4.0,124744,15.0,10,2.0,10.0,2.0,0.0,1.0,0,0,20,38.0,0
23,4.0,145917,11.0,9,4.0,6.0,1.0,0.0,0.0,0,0,25,38.0,0
31,2.0,125927,5.0,4,2.0,5.0,0.0,0.0,1.0,0,0,40,38.0,0
