Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,LoanPurposeType,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1GenderType,Borrower2GenderType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,MarginRatePercent,Borrower1EthnicityType,Borrower2EthnicityType,HOEPALoanStatusType
0.0,19.0,2.0,583.0,2080.0,4.009,63846,76445,4753,90100,142500,95.0,1,0,360,360,1,1,0,0,8,1,4,28,998,1,1,4.75,142500,21.14,30.73,0,1,30.0,1,0.0,1.0,2,5,2
2.0,17.0,37.0,414.0,715.0,11.0,126214,70502,8952,74500,164000,80.0,1,0,360,360,1,2,0,0,5,2,2,60,58,1,1,3.5,164000,12.0,15.0,0,1,0.0,0,0.0,1.0,2,2,2
2.0,17.0,22.0,143.0,4093.0,2.0,95278,75749,5650,80800,151752,80.0,1,0,360,360,1,1,0,0,8,1,4,29,998,1,1,3.75,151752,19.0,38.0,0,1,0.0,0,6.0,1.0,3,5,2
2.0,35.0,6.0,794.0,3612.0,2.0,86384,72236,2708,73200,125532,90.0,1,0,360,360,1,1,0,0,8,1,4,23,998,1,1,3.5,125730,30.0,30.0,0,1,25.0,0,0.0,1.0,2,5,2
0.0,21.0,0.0,56.0,2177.0,6.168,89760,82945,4276,86200,162000,80.0,1,0,360,360,1,1,1,0,8,2,4,55,998,1,1,4.5,162000,32.02,33.96,0,1,0.0,1,5.0,1.0,2,5,2
6.0,30.0,11.0,518.0,1832.0,9.353,112969,87066,5181,92900,148000,91.0,1,0,360,360,1,1,1,0,8,1,4,32,998,1,1,4.0,148000,28.54,47.4,0,1,30.0,0,5.0,1.0,2,5,2
2.0,35.0,82.0,794.0,11694.0,1.0,85688,70571,7242,71800,136000,80.0,1,0,360,360,1,2,1,0,5,1,2,21,21,1,1,3.625,136000,14.0,21.0,0,0,0.0,0,0.0,1.0,2,2,2
2.0,10.0,146.0,138.0,2627.0,5.0,60302,63885,5276,70100,154320,80.0,1,0,360,360,1,1,0,0,8,1,4,26,998,1,1,3.99,154320,19.0,20.0,0,1,0.0,0,0.0,1.0,2,5,2
6.0,32.0,9.0,225.0,1595.0,4.064,61442,67879,4753,74000,165000,65.0,1,0,360,360,1,2,0,0,5,2,1,42,48,1,1,3.875,165000,29.9,30.11,0,0,0.0,1,0.0,1.0,2,2,2
6.0,32.0,9.0,225.0,1613.0,3.355,76016,67879,4574,74000,136000,80.0,1,0,240,240,1,1,1,0,8,1,4,30,998,1,1,3.75,136000,23.87,29.27,0,1,0.0,0,0.0,1.0,2,5,2
2.0,35.0,15.0,143.0,3612.0,2.0,68485,75749,4165,80800,134000,58.0,2,0,360,360,1,1,0,0,8,2,4,68,998,1,1,4.0,134000,21.0,32.0,0,1,0.0,0,0.0,1.0,2,5,2
0.0,21.0,7.0,691.0,9997.0,58.267,34096,69235,4450,73900,173220,97.0,1,1,360,360,1,1,0,0,8,2,4,28,998,1,2,4.25,173700,28.88,56.93,0,1,0.0,1,3.0,1.0,1,5,2
2.0,35.0,22.0,794.0,9015.0,3.0,60568,60582,16932,65400,139727,28.0,2,0,180,180,1,2,0,0,5,1,2,40,36,1,1,3.5,139727,10.0,21.0,0,1,0.0,0,0.0,1.0,2,2,2
2.0,35.0,34.0,143.0,2629.0,19.0,102813,75749,3614,80800,132000,86.0,2,0,360,360,1,1,0,0,8,2,4,31,998,1,1,3.5,132000,27.0,32.0,0,1,25.0,0,0.0,1.0,2,5,2
0.0,6.0,4.0,513.0,6294.0,6.608,104804,82940,3739,93200,156200,80.0,1,0,360,360,1,1,0,0,8,1,4,36,998,1,1,5.375,156800,36.51,44.8,0,1,0.0,1,0.0,1.0,2,5,2
0.0,6.0,0.0,101.0,2829.0,63.739,56528,107309,5369,93800,127684,80.0,1,0,360,360,1,1,1,0,8,1,4,54,998,1,1,4.875,128000,23.5,41.96,0,1,0.0,1,5.0,1.0,2,5,2
2.0,17.0,83.0,794.0,1773.0,11.0,66500,62559,5007,58200,150000,84.0,2,0,360,360,1,1,0,0,8,1,4,49,998,1,1,3.75,150000,19.0,26.0,0,1,12.0,0,2.0,1.0,2,5,2
0.0,21.0,7.0,691.0,10071.0,22.319,79559,69235,4203,73900,166160,99.0,1,1,360,360,1,1,0,0,8,2,4,34,998,1,1,4.5,166822,31.34,32.7,0,1,0.0,1,0.0,1.0,1,5,2
0.0,6.0,1.0,313.0,8749.0,52.69,88750,90197,5861,96600,126088,80.0,6,0,360,360,1,2,1,0,5,1,2,54,55,1,1,4.875,126400,19.2,49.8,0,0,0.0,1,0.0,1.0,2,2,2
2.0,35.0,60.0,794.0,11616.0,2.0,71521,68239,13016,73100,155800,95.0,1,0,360,360,1,2,0,0,5,1,2,37,29,1,1,3.5,155800,8.0,21.0,0,1,30.0,0,0.0,1.0,2,2,2
6.0,32.0,57.0,169.0,11548.0,13.127,99730,62886,5200,66200,139500,90.0,1,0,360,360,1,1,0,0,8,2,4,48,998,1,1,4.0,139500,21.77,22.25,0,1,25.0,0,0.0,1.0,2,5,2
0.0,6.0,1.0,313.0,8381.0,63.338,100431,90197,6774,96600,171520,85.0,2,0,360,360,1,1,1,0,8,1,4,40,998,1,1,4.875,174000,22.04,44.75,0,1,12.0,1,0.0,1.0,1,5,2
6.0,32.0,9.0,225.0,1691.0,8.449,58300,67879,3039,74000,124450,95.0,1,0,360,360,1,2,0,0,5,1,2,24,23,1,1,4.125,124450,30.71,42.29,0,0,30.0,0,0.0,1.0,2,2,2
2.0,35.0,60.0,794.0,11616.0,2.0,71521,68239,7532,73100,156000,80.0,1,0,360,360,1,2,0,0,5,1,2,36,35,1,1,3.375,156000,14.0,28.0,0,0,0.0,1,0.0,1.0,2,2,2
6.0,32.0,57.0,169.0,11546.0,4.547,61324,62886,6927,66200,152000,80.0,1,0,360,360,1,2,0,0,5,2,2,35,73,1,1,3.875,152000,19.03,27.3,0,0,0.0,0,0.0,1.0,2,2,2
0.0,21.0,7.0,691.0,10006.0,53.515,42402,69235,3006,73900,154380,94.0,1,1,360,360,1,1,0,0,8,2,4,30,998,1,1,4.75,154380,38.83,53.05,0,1,0.0,1,0.0,1.0,1,5,2
2.0,35.0,34.0,143.0,2707.0,2.0,89275,75749,7728,80800,161450,72.0,6,0,360,360,1,1,0,0,8,1,4,36,998,1,1,3.375,161450,15.0,21.0,0,1,0.0,0,0.0,1.0,2,5,2
0.0,33.0,37.0,781.0,433.0,7.22,150504,57188,8334,62500,186087,99.0,1,1,360,360,1,1,1,0,8,1,4,33,998,1,1,4.75,186558,16.65,31.7,0,1,0.0,1,0.0,1.0,2,5,2
6.0,32.0,9.0,225.0,1637.0,6.907,95452,67879,10419,74000,161910,90.0,1,0,360,360,1,2,0,0,5,1,2,30,30,1,1,3.5,161910,11.59,27.0,0,1,25.0,0,0.0,1.0,2,2,2
6.0,32.0,57.0,169.0,11548.0,13.127,99730,62886,10014,66200,122000,71.0,1,0,360,360,1,2,0,0,5,2,1,45,46,1,1,3.75,122000,12.16,21.04,0,1,0.0,0,0.0,1.0,2,2,2
6.0,32.0,3.0,78.0,2003.0,4.473,79596,66566,4047,70500,148200,95.0,1,0,360,360,1,1,1,0,8,2,4,27,998,1,1,4.125,148200,30.74,36.87,0,1,30.0,0,0.0,1.0,2,5,2
2.0,35.0,90.0,143.0,3383.0,14.0,108500,75749,8333,80800,169994,75.0,2,0,360,360,1,1,0,0,8,1,4,39,998,1,1,3.75,170250,16.0,28.0,0,1,0.0,0,6.0,1.0,2,5,2
6.0,32.0,9.0,225.0,51.0,12.591,53988,67879,5293,74000,123990,91.0,1,0,360,360,1,1,1,0,8,2,4,40,998,1,1,3.75,123990,20.44,31.08,0,1,30.0,0,0.0,1.0,2,5,2
0.0,21.0,7.0,691.0,10352.0,4.631,75221,69235,7367,73900,132792,75.0,1,0,360,360,1,1,0,0,8,1,4,47,998,1,1,5.25,133500,13.62,42.12,0,1,0.0,1,0.0,1.0,2,5,2
6.0,32.0,9.0,225.0,1706.0,6.356,81964,67879,6085,74000,140800,80.0,1,0,360,360,1,2,0,0,5,1,2,72,69,1,1,3.75,140800,18.51,50.0,0,0,0.0,0,0.0,1.0,2,2,2
2.0,17.0,37.0,414.0,674.0,20.0,124345,70502,6803,74500,147500,71.0,2,0,360,360,1,1,0,0,8,2,4,36,998,1,1,3.75,147500,14.0,39.0,0,1,0.0,0,6.0,1.0,2,5,2
0.0,48.0,32.0,181.0,1637.0,2.337,55490,54374,4054,55500,137560,73.0,6,0,360,360,1,1,1,0,8,2,4,34,998,1,1,4.875,137900,23.27,45.24,0,1,0.0,1,0.0,1.0,2,5,2
0.0,48.0,31.0,86.0,185.0,10.54,59926,49474,5401,52200,153071,80.0,6,0,360,360,1,1,1,0,8,1,4,48,998,1,1,5.375,153600,19.45,34.91,0,1,0.0,1,6.0,1.0,2,5,2
6.0,32.0,62.0,383.0,11387.0,35.445,34519,77336,5392,83300,144000,80.0,1,0,360,360,1,2,1,0,5,2,1,28,29,1,1,4.125,144000,19.53,21.1,0,1,0.0,0,0.0,1.0,2,2,2
2.0,17.0,80.0,794.0,3315.0,6.0,76792,61121,13240,58400,148303,58.0,2,0,360,360,1,2,0,0,5,1,2,48,30,1,1,3.75,148303,6.0,13.0,0,0,0.0,0,0.0,1.0,2,2,2
2.0,17.0,46.0,794.0,2650.0,6.0,62778,52914,7608,56100,130000,72.0,2,0,360,360,1,2,0,0,5,2,1,28,25,1,1,3.75,130000,8.0,21.0,0,1,0.0,0,0.0,1.0,2,2,2
6.0,32.0,16.0,587.0,5903.0,25.361,102723,87066,5076,92900,135000,61.0,1,0,360,360,1,1,1,0,8,1,4,56,998,1,1,3.75,135000,23.74,24.7,0,1,0.0,0,0.0,1.0,2,5,2
2.0,17.0,65.0,143.0,4499.0,7.0,84202,75749,5180,80800,136000,70.0,6,0,360,360,1,2,0,0,5,1,2,73,70,1,1,3.75,136000,23.0,29.0,0,0,0.0,0,6.0,1.0,2,2,2
2.0,35.0,87.0,162.0,3964.0,13.0,90653,74750,3973,77900,137500,78.0,2,0,360,360,1,1,0,0,8,2,4,44,998,1,1,3.875,137500,23.0,43.0,0,1,0.0,0,0.0,1.0,2,5,2
6.0,32.0,39.0,587.0,1613.0,27.282,98339,87066,6663,92900,133506,69.0,1,1,360,360,1,1,1,0,8,1,4,38,998,1,1,4.25,135054,25.24,35.3,0,1,0.0,0,0.0,1.0,1,5,2
2.0,35.0,28.0,162.0,1535.0,6.0,62550,74750,8996,77900,125000,70.0,6,0,180,180,1,2,0,0,5,1,2,56,52,1,1,3.625,125000,14.0,42.0,0,0,0.0,0,0.0,1.0,2,2,2
2.0,35.0,28.0,162.0,1011.0,9.0,97039,74750,20025,77900,160000,50.0,2,0,360,360,1,1,0,0,8,1,4,61,998,2,1,3.5,160000,6.0,21.0,0,1,0.0,0,0.0,1.0,2,5,3
6.0,32.0,59.0,794.0,11378.0,14.717,74583,66652,5554,74800,147028,87.0,6,1,360,360,1,1,0,0,8,1,4,54,998,1,1,3.875,147028,21.65,24.33,0,1,0.0,0,0.0,1.0,2,5,2
6.0,32.0,62.0,383.0,11413.0,20.524,76625,77336,4333,83300,124095,87.0,1,1,360,360,1,1,1,0,8,2,4,41,998,1,1,4.35,124825,29.26,45.44,0,1,0.0,0,0.0,1.0,2,5,2
2.0,17.0,22.0,143.0,4134.0,11.0,54693,75749,8537,80800,157500,90.0,1,0,360,360,1,1,0,0,8,1,4,51,998,1,1,3.625,157500,13.0,20.0,0,1,25.0,0,0.0,1.0,2,5,2
6.0,32.0,31.0,614.0,1637.0,6.837,85978,71548,7876,75800,148500,90.0,1,0,360,360,1,2,0,0,5,1,2,44,44,1,1,4.125,148500,17.62,37.61,0,1,25.0,0,0.0,1.0,2,2,2
6.0,32.0,31.0,614.0,1613.0,5.523,101500,71548,9106,75800,161600,80.0,6,0,360,360,1,2,0,0,5,1,2,49,47,1,1,4.25,161600,15.84,36.39,0,0,0.0,0,0.0,1.0,2,2,2
2.0,35.0,34.0,143.0,2923.0,15.0,80552,75749,3709,80800,136500,77.0,2,0,240,240,1,1,0,0,8,1,4,25,998,1,1,3.5,136500,30.0,31.0,0,1,0.0,0,0.0,1.0,2,5,2
2.0,35.0,92.0,794.0,85.0,8.0,72311,64398,11110,68600,176000,80.0,1,0,360,360,1,1,1,0,8,1,4,61,998,1,1,3.75,176000,12.0,25.0,0,1,0.0,0,0.0,1.0,2,5,2
0.0,21.0,1.0,574.0,11208.0,15.201,90703,69540,4002,64800,132000,80.0,1,0,360,360,1,1,1,0,8,2,4,62,998,2,1,4.625,132000,12.08,38.94,0,1,0.0,1,0.0,1.0,2,5,2
2.0,35.0,52.0,794.0,678.0,3.0,72500,64869,6148,65700,160200,46.0,6,0,180,180,1,2,0,0,5,1,2,53,63,1,1,3.5,160200,26.0,36.0,0,1,0.0,0,0.0,1.0,2,2,2
2.0,35.0,6.0,794.0,3622.0,2.0,100435,72236,6080,73200,168000,80.0,1,0,360,360,1,2,1,0,5,1,2,24,22,1,1,3.625,168000,17.0,21.0,0,0,0.0,0,0.0,1.0,2,2,2
0.0,45.0,6.0,112.0,1595.0,5.33,68324,84290,4883,93000,124545,84.0,1,3,360,360,1,1,1,0,8,1,4,47,998,1,1,4.5,124545,18.76,39.51,0,1,0.0,1,0.0,1.0,2,5,2
0.0,45.0,6.0,112.0,1595.0,5.33,68324,84290,6701,93000,166666,102.0,1,3,360,360,1,2,0,0,5,2,1,27,30,1,1,4.5,166666,18.01,45.05,0,0,0.0,1,0.0,1.0,2,2,2
2.0,35.0,6.0,794.0,3612.0,2.0,86384,72236,5416,73200,172000,69.0,2,0,360,360,1,2,0,0,5,1,2,61,58,1,1,3.375,172000,19.0,31.0,0,1,0.0,0,6.0,1.0,2,2,2
2.0,17.0,65.0,143.0,4496.0,4.0,79120,75749,2912,80800,126000,80.0,1,0,360,360,1,1,1,0,8,1,4,26,998,1,1,3.625,126000,28.0,30.0,0,1,0.0,0,0.0,1.0,2,5,2
2.0,35.0,34.0,143.0,2651.0,9.0,79764,75749,6357,80800,132000,80.0,1,0,360,360,1,2,1,0,5,2,1,25,26,1,1,3.625,132000,15.0,33.0,0,0,0.0,0,0.0,1.0,2,2,2
0.0,6.0,1.0,313.0,8700.0,29.283,86429,90197,4933,96600,141014,95.0,2,0,240,240,1,1,1,0,8,1,4,53,998,1,1,4.375,142500,29.66,40.36,0,1,25.0,1,0.0,1.0,2,5,2
0.0,6.0,1.0,313.0,8064.0,9.283,94792,90197,17500,96600,126892,80.0,1,0,240,240,1,1,1,0,8,1,4,54,998,1,1,4.375,128000,6.63,30.76,0,1,0.0,1,0.0,1.0,2,5,2
0.0,6.0,3.0,313.0,8940.0,7.12,114920,90197,7083,96600,159090,75.0,6,0,240,240,1,1,1,0,8,1,4,32,998,1,1,4.375,160000,21.57,29.18,0,1,0.0,0,0.0,1.0,2,5,2
2.0,35.0,6.0,794.0,3638.0,4.0,69118,72236,7281,73200,144000,80.0,2,0,360,360,1,2,0,0,5,1,2,70,63,1,1,3.5,144000,12.0,27.0,0,1,0.0,1,0.0,1.0,2,2,2
2.0,35.0,10.0,143.0,1827.0,18.0,115395,75749,4281,80800,145000,80.0,2,0,360,360,1,1,0,0,8,2,4,35,998,1,1,3.75,145000,23.0,38.0,0,1,0.0,0,6.0,1.0,2,5,2
6.0,32.0,52.0,9.0,4415.0,8.121,91066,86808,6078,89900,125000,54.0,1,0,360,360,1,1,0,0,8,2,4,59,998,1,1,3.875,125000,18.27,37.06,0,1,0.0,0,0.0,1.0,2,5,2
0.0,6.0,1.0,313.0,8510.0,6.729,101226,90197,15154,96600,140000,80.0,1,0,360,360,1,2,0,0,2,2,1,61,46,1,1,4.875,140000,8.55,23.59,0,1,0.0,1,0.0,1.0,2,2,2
2.0,17.0,58.0,427.0,4841.0,16.0,52083,69748,8259,75600,153500,90.0,1,0,360,360,1,2,0,0,5,1,2,31,29,1,1,4.0,153500,15.0,41.0,0,0,25.0,0,0.0,1.0,2,2,2
6.0,32.0,31.0,614.0,1751.0,10.285,72451,71548,9430,75800,147884,90.0,1,0,360,360,1,2,1,0,5,1,2,30,26,1,1,4.25,148500,15.05,24.66,0,0,0.0,0,6.0,1.0,2,2,2
